model,auc,balanced_accuracy,f1_class_1,pearson_sq,cka_rbf,mean_pred_gap_abs,predicted_positive_rate_gap_abs
base_custom_no_fair,0.7365597832082124,0.6720355843220495,0.2530644213824163,0.011582460628459898,0.014428231541920763,0.03929528594017029,0.08666472974889533
fair_pre_tuner_cka_l10,0.7255642496395831,0.6670790818464452,0.24746605469497035,0.0003582748853458047,0.0009430035504982878,0.006336182355880737,0.020374987675957024
fair_tuned_hyperband,0.7345050138809721,0.6736759684382467,0.25178237828357924,0.002639494146011784,0.003913226828621452,0.019528180360794067,0.047254779883365794
