Modelo,AUC test,DP Gap,Balanced Acc.,Recall clase 1,F1 clase 1,λ
"Base (λ=0, Punto 1)",0.7358,0.0403,0.6724,0.6606,0.2514,0.0
Mejor FAIR (λ=5.0),0.7098,0.0022,0.653,0.5797,0.2469,5.0
