modelo,test_auc,test_pearson_sq,mae_modelo_error,incertidumbre_media,corr_incert_vs_nmissing,corr_error_vs_mcdropout
PRE-tuner (CKA λ=10),0.7255642496395831,0.0003582748853458047,0.0426546074450016,0.4278559386730194,0.04052052674108292,-0.16381505862857618
POST-tuner (Hyperband),0.7345050138809721,0.002639494146011784,0.048416417092084885,0.4170978367328644,0.06384802896589674,0.005007563667458015
