epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss,learning_rate
1,0.6387726068496704,0.6810197234153748,0.6563291549682617,0.6411252021789551,0.7232214212417603,0.6535190939903259,0.0010000000474974513
2,0.6545090675354004,0.7129926681518555,0.6233002543449402,0.6494583487510681,0.725688636302948,0.6290382146835327,0.0010000000474974513
3,0.6577508449554443,0.717344343662262,0.6192055344581604,0.655555784702301,0.7265112400054932,0.613133430480957,0.0010000000474974513
4,0.6568819880485535,0.7208000421524048,0.6166900396347046,0.6614906191825867,0.7273609042167664,0.6113580465316772,0.0010000000474974513
5,0.661206066608429,0.7225035429000854,0.6149194240570068,0.6664701700210571,0.7274307012557983,0.607456624507904,0.0010000000474974513
6,0.662959098815918,0.7241936922073364,0.6137604117393494,0.6636043787002563,0.7280951738357544,0.6104183793067932,0.0010000000474974513
7,0.660789430141449,0.7238211631774902,0.6134738326072693,0.6679132580757141,0.7283574342727661,0.6060521602630615,0.0010000000474974513
8,0.6628015637397766,0.7248193621635437,0.6128249168395996,0.6683604121208191,0.7285705804824829,0.6039327383041382,0.0010000000474974513
9,0.662928581237793,0.7250744104385376,0.6131265759468079,0.6699050664901733,0.7284101247787476,0.6045092940330505,0.0010000000474974513
10,0.6655149459838867,0.7255032062530518,0.6123515367507935,0.6692546606063843,0.7289717793464661,0.602959394454956,0.0010000000474974513
11,0.6630454659461975,0.7263966202735901,0.611611545085907,0.6731570363044739,0.7290005087852478,0.6027553677558899,0.0010000000474974513
12,0.6649305820465088,0.7271343469619751,0.6110566258430481,0.6741732954978943,0.7294625043869019,0.6022719740867615,0.0010000000474974513
13,0.6646612882614136,0.7266038656234741,0.611598789691925,0.6680758595466614,0.7300193905830383,0.6027810573577881,0.0010000000474974513
14,0.6649051904678345,0.7279843688011169,0.6104627847671509,0.6778114438056946,0.7299458384513855,0.5982288718223572,0.0010000000474974513
15,0.6659772992134094,0.7285772562026978,0.6100196242332458,0.6721814870834351,0.7306305766105652,0.6024412512779236,0.0010000000474974513
16,0.6669071912765503,0.7293364405632019,0.6093294024467468,0.6764090061187744,0.7310470342636108,0.6003353595733643,0.0010000000474974513
17,0.6678116321563721,0.7283644676208496,0.609894871711731,0.6773033142089844,0.7309954762458801,0.5988849401473999,0.0010000000474974513
18,0.6680199503898621,0.7292430996894836,0.6091400980949402,0.6828722953796387,0.7319163084030151,0.5962244868278503,0.0010000000474974513
19,0.6702658534049988,0.7287002205848694,0.6099632978439331,0.6782179474830627,0.7315411567687988,0.5987334847450256,0.0010000000474974513
20,0.668573796749115,0.7292668223381042,0.609318196773529,0.6834210753440857,0.7313584089279175,0.595999002456665,0.0010000000474974513
21,0.6688888669013977,0.7297567129135132,0.6089685559272766,0.6830348968505859,0.7319739460945129,0.594572901725769,0.0010000000474974513
22,0.6709975600242615,0.7293490171432495,0.6091637015342712,0.6835023760795593,0.7320118546485901,0.5963436961174011,0.0010000000474974513
23,0.6699305176734924,0.7302922010421753,0.6084477305412292,0.6889290809631348,0.7318925857543945,0.5912163853645325,0.0010000000474974513
24,0.669671356678009,0.7306756973266602,0.6082618832588196,0.6865917444229126,0.732490599155426,0.593647837638855,0.0010000000474974513
25,0.6695900559425354,0.7301724553108215,0.6085814833641052,0.6875876784324646,0.7325242757797241,0.5941241383552551,0.0010000000474974513
26,0.6723135709762573,0.7309606075286865,0.6079775094985962,0.6847828030586243,0.7323560118675232,0.5947797298431396,0.0010000000474974513
27,0.6712109446525574,0.7303090691566467,0.608176589012146,0.6834210753440857,0.7327572107315063,0.5945068597793579,0.0010000000474974513
28,0.6700066924095154,0.7304129600524902,0.6082633137702942,0.6877298951148987,0.7329803705215454,0.5966689586639404,0.0010000000474974513
29,0.6712871789932251,0.7305681109428406,0.6083143949508667,0.6854128837585449,0.7327895164489746,0.5930335521697998,0.0010000000474974513
30,0.6694833636283875,0.7309255599975586,0.6077262759208679,0.6832584738731384,0.7330986857414246,0.5948849320411682,0.0010000000474974513
31,0.6711296439170837,0.7317827939987183,0.6072410941123962,0.6884819269180298,0.733105480670929,0.5940272212028503,0.0010000000474974513
32,0.6701845526695251,0.7309978008270264,0.6080439686775208,0.6905144453048706,0.7331607341766357,0.5924590229988098,0.0010000000474974513
33,0.6724202632904053,0.7308182716369629,0.6079981327056885,0.6860429644584656,0.7327836155891418,0.5928363800048828,0.0010000000474974513
34,0.6706266403198242,0.7320806384086609,0.6069467663764954,0.6880754232406616,0.7330388426780701,0.5931563377380371,0.0010000000474974513
35,0.6721306443214417,0.7324303984642029,0.6065451502799988,0.686164915561676,0.7329157590866089,0.5946941375732422,0.0010000000474974513
36,0.6726946830749512,0.7318054437637329,0.6071797013282776,0.6869169473648071,0.7329151630401611,0.5928981304168701,0.0010000000474974513
