loss_type,lambda_fair,val_auc,val_accuracy,val_balanced_accuracy,val_recall_class_1,val_precision_class_1,val_f1_class_1,val_pearson_sq,val_cka_rbf,val_mean_pred_gender_0,val_mean_pred_gender_1,val_mean_pred_gap_abs,val_predicted_positive_rate_gap_abs,test_auc,test_accuracy,test_balanced_accuracy,test_recall_class_1,test_precision_class_1,test_f1_class_1,test_pearson_sq,test_cka_rbf,test_mean_pred_gender_0,test_mean_pred_gender_1,test_mean_pred_gap_abs,test_predicted_positive_rate_gap_abs
Pearson²,0.5,0.7297522719617927,0.6944574297270381,0.6711034900898297,0.6432527693856999,0.15799888689629585,0.2536861440699002,0.0034191559302532686,0.004516275661756189,0.43995290994644165,0.4194280207157135,0.02052488923072815,0.05642213163090076,0.7330922966237957,0.6968553868166889,0.6734411695673062,0.6455186304128903,0.1595400467917766,0.25584736968148797,0.004216407064608904,0.006170959937986399,0.44029054045677185,0.4175492525100708,0.02274128794670105,0.058430396705012266
Pearson²,1.0,0.7237806273176646,0.7048637222820674,0.664477159836292,0.6163141993957704,0.15849789575914536,0.25215017767935316,0.002531126698285768,0.002956683474245017,0.43520933389663696,0.4194663166999817,0.015743017196655273,0.040244358520998724,0.7265387685320316,0.7076192644141653,0.6678130966146616,0.6203423967774421,0.16060906293998017,0.25515698782205287,0.0032684828404385955,0.005111567772377201,0.4357961118221283,0.4179874360561371,0.01780867576599121,0.04705108717830292
Pearson²,2.0,0.7253338844283908,0.6887055141155668,0.6653339611332703,0.6374622356495468,0.15431496830814237,0.24847890088321883,0.0007616908912521054,0.0012738731830632837,0.4372718036174774,0.4277290105819702,0.009542793035507202,0.02985705408021233,0.730259046108368,0.6923677278787682,0.6698060949525502,0.6429003021148036,0.15693986921677566,0.2522921277268416,0.00118401362321565,0.002160159506749984,0.43768247961997986,0.42582038044929504,0.011862099170684814,0.03482090793004056
Pearson²,5.0,0.7223919350151807,0.6880347960407309,0.6660025877710334,0.6397280966767371,0.1543836199040039,0.2487396603201018,0.000343777899270915,0.0008735831295140489,0.43551549315452576,0.42911550402641296,0.006399989128112793,0.02846348009571914,0.7267733785934658,0.6901889369451399,0.6710094206859446,0.6481369587109769,0.15678440925700365,0.25249117300902313,0.0006676244554938725,0.0016579553578821417,0.43625369668006897,0.42736345529556274,0.008890241384506226,0.03624075960392242
Pearson²,10.0,0.7216028266093213,0.6913274120444707,0.661937332135713,0.6268882175226587,0.1537511577647422,0.24693806713938612,0.0001049709814930421,0.00048826870539126545,0.4310363531112671,0.4275824725627899,0.003453880548477173,0.020346012291709625,0.7270488766003587,0.6939774316282398,0.6698548772728412,0.6410876132930513,0.15740282860251212,0.25274943423194507,0.0002939659043388578,0.0009725680670749434,0.4315311312675476,0.4257771074771881,0.005754023790359497,0.025981257437263372
Pearson²,50.0,0.7129534970044017,0.6311457084205605,0.6541212190255621,0.6815206445115811,0.13818274629913221,0.2297767591885239,8.522912378061647e-06,9.153211838408445e-05,0.4522685408592224,0.45129579305648804,0.000972747802734375,0.008990040360900509,0.7170344488822398,0.634792364475952,0.6596183882005744,0.6892245720040282,0.14059161873459325,0.23354376386282205,9.613107244035552e-05,0.0005001817195974088,0.45326995849609375,0.4500143826007843,0.0032555758953094482,0.009457961569020679
Pearson²,100.0,0.7058750616227408,0.6247027499441068,0.6505020039344593,0.6812688821752266,0.1359457422758101,0.226661640909662,2.6378547221619605e-05,0.00011564434675337998,0.45180803537368774,0.45011720061302185,0.0016908347606658936,0.005953810034513729,0.7092863266061397,0.6277194237585769,0.651729458563269,0.6803625377643504,0.13683315105116053,0.22784297855119384,0.00016275830319407338,0.0008276509137738637,0.4529719650745392,0.4487842321395874,0.004187732934951782,0.011611456272186571
CKA RBF,0.5,0.7257809714542736,0.7098026462876771,0.6673931420315865,0.6168177240684793,0.16112061028541366,0.25550109500469287,0.005286067057365688,0.006268017976234125,0.43379563093185425,0.41041213274002075,0.023383498191833496,0.06171999736164607,0.7279822848946286,0.7122857793242496,0.6676872835782166,0.6145015105740181,0.16201146983857265,0.25641887632894905,0.005947922684354566,0.00841991906801054,0.4336405396461487,0.40887370705604553,0.02476683259010315,0.0629430229836152
CKA RBF,1.0,0.7291842272413116,0.6912867624641775,0.6706420222906384,0.6460221550855992,0.1569514955043122,0.25254662664238964,0.0020148538502903377,0.002932481416679403,0.4316054582595825,0.4150586724281311,0.016546785831451416,0.0422517906192485,0.7329925820485516,0.6942213261357354,0.6723759241446052,0.6463242698892245,0.1583987363640851,0.25444021566761815,0.0025242614723700544,0.0038154216957807466,0.43128687143325806,0.4128012955188751,0.018485575914382935,0.04055778289016865
CKA RBF,2.0,0.7205245552803605,0.7219975203756022,0.6632323810283383,0.5931520644511581,0.16340685254542933,0.256226209896683,0.0012209934773201897,0.0019122986373210937,0.4202865660190582,0.4094568192958832,0.010829746723175049,0.03164108387267228,0.7245286954023693,0.7226756853435661,0.6658058342529336,0.5979859013091642,0.16467912807144044,0.2582412803340002,0.00182717487527049,0.0029778219288951013,0.4210263788700104,0.40782541036605835,0.013200968503952026,0.0390317269635298
CKA RBF,5.0,0.7223836132593858,0.6956769171358306,0.663958591989646,0.6261329305135952,0.15568075117370891,0.2493608061362611,0.0004022976479426963,0.0007804045520237644,0.4266742765903473,0.41965147852897644,0.00702279806137085,0.023883809053488303,0.7278026860859739,0.6977659263113395,0.666771249320976,0.6298086606243706,0.15731750264124364,0.25175106674180825,0.0007277356175658074,0.001587384135126998,0.42724379897117615,0.41783908009529114,0.00940471887588501,0.029423998615489333
CKA RBF,10.0,0.7188929818196966,0.6803520253653381,0.6642352054823527,0.6450151057401813,0.15178624326085668,0.2457436094192125,0.0003067377034750883,0.0005718953666010852,0.43526431918144226,0.4293194115161896,0.0059449076652526855,0.017577061323746535,0.7231136073390326,0.679945367630321,0.664611097570857,0.6463242698892245,0.1518190850167952,0.24588154164431844,0.0005755615960083335,0.0013850548167011459,0.4356565475463867,0.42752522230148315,0.008131325244903564,0.023679314034541044
CKA RBF,50.0,0.7107080674184457,0.6521005670616451,0.6531175317808131,0.654330312185297,0.14168892765632665,0.23293748599596684,3.2821630031970947e-05,0.00019864800530489815,0.4456704556941986,0.443744033575058,0.001926422119140625,0.012871342941430719,0.7164354756603973,0.6548567526259309,0.6583140600686044,0.6624370594159114,0.1440017513134851,0.23657615536773963,0.00014963967333268038,0.000586581974139921,0.4463060796260834,0.44220227003097534,0.004103809595108032,0.014825164667667368
CKA RBF,100.0,0.706669616743012,0.648645352736733,0.6484823750333344,0.6482880161127895,0.13945301922556189,0.22953157730534385,6.959440142589648e-06,0.00018054419164130394,0.44623863697052,0.4453915059566498,0.0008471310138702393,0.014708363899684718,0.7088961001058028,0.6515072680563234,0.6557573549184637,0.6608257804632427,0.14246634824142423,0.23439899982139667,0.00010808668844974449,0.0004581718824184467,0.4469785988330841,0.44364312291145325,0.0033354759216308594,0.018679624442254683
